CreditScore,Gender,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Geography_Spain,Geography,Balance_Is_Zero,Balance_Salary_Ratio,IsActive_x_NumProducts,Tenure_Per_Age,Age_Squared,Germany_x_Balance
619,0,1,1,101348.88,1,0,France,1,0.0,1,0.046511627906976744,1764,0.0
608,0,1,0,112542.58,0,1,Spain,0,0.7446702868346644,1,0.023809523809523808,1681,0.0
502,0,3,1,113931.57,1,0,France,0,1.401362226797833,0,0.18604651162790697,1764,0.0
699,0,2,0,93826.63,0,0,France,1,0.0,0,0.025,1521,0.0
850,0,1,1,79084.1,0,1,Spain,0,1.5870349787760274,1,0.045454545454545456,1849,0.0
645,1,2,1,149756.71,1,1,Spain,0,0.7595988213227887,0,0.17777777777777778,1936,0.0
822,1,2,1,10062.8,0,0,France,1,0.0,2,0.13725490196078433,2500,0.0
376,0,4,1,119346.88,1,0,Germany,0,0.9639613204692031,0,0.13333333333333333,841,115046.74
501,1,2,0,74940.5,0,0,France,0,1.8954927510124564,2,0.08888888888888889,1936,0.0
684,1,1,1,71725.73,0,0,France,0,1.8766208915421072,1,0.07142857142857142,729,0.0
528,1,2,0,80181.12,0,0,France,0,1.2723125804106952,0,0.1875,961,0.0
497,1,2,1,76390.01,0,1,Spain,1,0.0,0,0.12,576,0.0
476,0,2,1,26260.98,0,0,France,1,0.0,0,0.2857142857142857,1156,0.0
549,0,2,0,190857.79,0,0,France,1,0.0,0,0.19230769230769232,625,0.0
635,0,2,1,65951.65,0,1,Spain,1,0.0,2,0.19444444444444445,1225,0.0
616,1,2,0,64327.26,0,0,Germany,0,2.224984944408569,2,0.06521739130434782,2025,143129.41
653,1,1,1,5097.67,1,0,Germany,0,26.00734701402523,0,0.01694915254237288,3364,132602.88
549,0,2,1,14406.41,0,1,Spain,1,0.0,2,0.36,576,0.0
587,1,1,0,158684.81,0,1,Spain,1,0.0,0,0.13043478260869565,2025,0.0
726,0,2,1,54724.03,0,0,France,1,0.0,2,0.24,576,0.0
732,1,2,1,170886.17,0,0,France,1,0.0,2,0.19047619047619047,1681,0.0
636,0,2,1,138555.46,0,1,Spain,1,0.0,0,0.24242424242424243,1024,0.0
