CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Geography_Germany,Geography_Spain
619,0,42,2,0,1,1,1,101348,1,0,0
608,0,41,1,83807,1,0,1,112542,0,0,1
502,0,42,8,159660,3,1,0,113931,1,0,0
699,0,39,1,0,2,0,0,93826,0,0,0
850,0,43,2,125510,1,1,1,79084,0,0,1
645,1,44,8,113755,2,1,0,149756,1,0,1
822,1,50,7,0,2,1,1,10062,0,0,0
376,0,29,4,115046,4,1,0,119346,1,1,0
501,1,44,4,142051,2,0,1,74940,0,0,0
684,1,27,2,134603,1,1,1,71725,0,0,0
528,1,31,6,102016,2,0,0,80181,0,0,0
497,1,24,3,0,2,1,0,76390,0,0,1
476,0,34,10,0,2,1,0,26260,0,0,0
549,0,25,5,0,2,0,0,190857,0,0,0
635,0,35,7,0,2,1,1,65951,0,0,1
616,1,45,3,143129,2,0,1,64327,0,1,0
653,1,58,1,132602,1,1,0,5097,1,1,0
549,0,24,9,0,2,1,1,14406,0,0,1
587,1,45,6,0,1,0,0,158684,0,0,1
726,0,24,6,0,2,1,1,54724,0,0,0
732,1,41,8,0,2,1,1,170886,0,0,0
636,0,32,8,0,2,1,0,138555,0,0,1
510,0,38,4,0,1,1,0,118913,1,0,1
669,1,46,3,0,2,0,1,8487,0,0,0
846,0,38,5,0,1,1,1,187616,0,0,0
577,1,25,3,0,2,0,1,124508,0,0,0
756,1,36,2,136815,1,1,1,170041,0,1,0
571,1,44,9,0,2,0,0,38433,0,0,0
574,0,43,3,141349,1,1,1,100187,0,1,0
411,1,29,0,59697,2,1,1,53483,0,0,0
591,0,39,3,0,3,1,0,140469,1,0,1
533,1,36,7,85311,1,0,1,156731,0,0,0
553,1,41,9,110112,2,0,0,81898,0,1,0
520,0,42,6,0,2,1,1,34410,0,0,1
722,0,29,9,0,2,1,1,142033,0,0,1
475,0,45,0,134264,1,1,0,27822,1,0,0
490,1,31,3,145260,1,0,1,114066,0,0,1
804,1,33,7,76548,1,0,1,98453,0,0,1
850,1,36,7,0,1,1,1,40812,0,0,0
582,1,41,6,70349,2,0,1,178074,0,1,0
472,1,40,4,0,1,1,0,70154,0,0,1
465,0,51,8,122522,1,0,0,181297,1,0,0
556,0,61,2,117419,1,1,1,94153,0,0,0
834,0,49,2,131394,1,0,0,194365,1,0,0
660,0,61,5,155931,1,1,1,158338,0,0,1
776,0,32,4,109421,2,1,1,126517,0,1,0
829,0,27,9,112045,1,1,1,119708,1,1,0
637,0,39,9,137843,1,1,1,117622,1,1,0
550,1,38,2,103391,1,0,1,90878,0,1,0
776,0,37,2,103769,2,1,0,194099,0,1,0
698,1,44,10,116363,2,1,0,198059,0,1,0
585,1,36,5,146050,2,0,0,86424,0,1,0
788,0,33,5,0,2,0,0,116978,0,0,0
655,1,41,8,125561,1,0,0,164040,1,1,0
601,1,42,1,98495,1,1,0,40014,1,1,0
619,1,43,1,125211,1,1,1,113410,0,0,0
656,1,45,5,127864,1,1,0,87107,0,0,0
725,1,19,0,75888,1,0,0,45613,0,1,0
511,0,66,4,0,1,1,0,1643,1,0,1
614,1,51,4,40685,1,1,1,46775,0,0,0
742,1,35,5,136857,1,0,0,84509,0,1,0
687,0,27,9,152328,2,0,0,126494,0,1,0
555,1,33,1,56084,2,0,0,178798,0,0,1
684,1,56,8,78707,1,1,1,99398,0,0,1
603,1,26,4,109166,1,1,1,92840,0,1,0
751,0,36,6,169831,2,1,1,27758,0,1,0
581,0,34,1,101633,1,1,0,110431,0,1,0
735,1,43,10,123180,2,1,1,196673,0,1,0
661,0,35,5,150725,2,0,1,113656,0,1,0
675,0,21,8,98373,1,1,0,18203,0,0,0
738,1,58,2,133745,4,1,0,28373,1,1,0
813,1,29,6,0,1,1,0,33953,0,0,0
657,0,37,0,163607,1,0,1,44203,0,0,1
604,0,25,5,157780,2,1,1,58426,0,1,0
519,1,36,9,0,2,0,1,145562,0,0,0
735,0,21,1,178718,2,1,0,22388,0,0,0
664,1,55,8,0,2,1,1,139161,0,0,0
678,0,32,9,0,1,1,1,148210,0,0,0
757,1,33,5,77253,1,0,1,194239,0,0,1
416,0,41,10,122189,2,1,0,98301,0,1,0
665,0,34,1,96645,2,0,0,171413,0,0,0
777,0,32,2,0,1,1,0,136458,1,0,0
543,0,36,3,0,2,0,0,26019,0,0,0
506,0,34,4,90307,1,1,1,159235,0,0,0
493,0,46,4,0,2,1,0,1907,0,0,0
652,0,75,10,0,2,1,1,114675,0,0,1
750,1,22,3,121681,1,1,0,128643,1,0,1
729,1,30,9,0,2,1,0,151869,0,0,0
646,0,46,4,0,3,1,0,93251,1,0,0
635,0,28,3,81623,2,1,1,156791,0,1,0
647,0,44,5,0,3,1,1,174205,1,0,1
808,1,45,7,118626,2,1,0,147132,0,0,0
524,0,36,10,0,2,1,0,109614,0,0,0
769,1,29,8,0,2,1,1,172290,0,0,0
730,1,42,4,0,2,0,1,85982,0,0,1
515,1,35,10,176273,1,0,1,121277,0,0,1
773,1,41,9,102827,1,0,1,64595,0,0,1
814,1,29,8,97086,2,1,1,197276,0,1,0
710,1,22,8,0,2,0,0,99645,0,0,1
413,1,34,9,0,2,0,0,6534,0,0,0
665,0,40,6,0,1,1,1,161848,0,0,0
623,0,44,6,0,2,0,0,167162,0,0,0
738,1,31,9,82674,1,1,0,41970,0,0,0
528,1,36,7,0,2,1,0,60536,0,0,1
670,0,65,1,0,1,1,1,177655,1,0,1
622,0,46,4,107073,2,1,1,30984,1,0,1
582,1,32,1,88938,1,1,1,10054,0,1,0
785,0,36,2,99806,1,0,1,36976,0,1,0
605,1,33,5,150092,1,0,0,71862,0,0,1
479,1,35,9,92833,1,1,0,99449,1,1,0
685,1,30,3,90536,1,0,1,63082,0,1,0
538,1,39,7,108055,2,1,0,27231,0,1,0
562,1,42,2,100238,1,0,0,86797,0,0,0
675,1,36,9,106190,1,0,1,22994,0,0,1
721,1,28,9,154475,2,0,1,101300,1,1,0
628,0,30,9,132351,2,1,1,74169,0,1,0
668,0,37,6,167864,1,1,0,115638,0,1,0
506,0,41,1,0,2,1,0,31766,0,0,0
524,0,31,8,107818,1,1,0,199725,1,1,0
699,1,34,4,185173,2,1,0,120834,0,1,0
828,1,34,8,129433,2,0,0,38131,0,0,0
674,1,39,6,120193,1,0,0,100130,0,0,1
656,0,39,6,0,2,1,0,141069,0,0,0
684,0,48,10,126384,1,1,1,198129,0,1,0
625,0,28,3,0,1,0,0,183646,0,0,0
432,1,42,9,152603,1,1,0,110265,1,0,0
549,0,52,1,0,1,0,1,8636,1,0,0
625,1,56,0,148507,1,1,0,46824,1,1,0
828,0,41,7,0,2,1,0,171378,0,0,0
770,1,24,9,101827,1,1,0,167256,0,0,0
758,0,34,3,0,2,1,1,124226,0,0,0
795,0,33,9,130862,1,1,1,114935,0,1,0
687,1,38,9,122570,1,1,1,35608,0,0,0
686,1,25,1,0,2,0,1,16459,0,0,0
789,1,39,7,124828,2,1,1,124411,0,1,0
589,0,50,5,144895,2,1,1,34941,0,1,0
461,0,34,5,63663,1,0,1,167784,0,1,0
637,1,40,2,133463,1,0,1,93165,0,0,0
584,0,48,2,213146,1,1,0,75161,1,0,1
579,0,35,1,129490,2,0,1,8590,1,0,1
756,1,44,10,137452,1,1,0,189543,0,1,0
663,1,34,7,0,2,1,1,180427,0,0,0
682,0,43,5,125851,1,1,1,193318,0,0,0
793,1,52,2,0,1,1,0,159123,1,0,1
691,0,31,5,40915,1,1,0,126213,1,0,0
485,0,21,5,113157,1,1,1,54141,0,0,1
635,0,29,8,138296,2,1,0,141075,0,0,1
650,1,37,5,106967,1,0,0,24495,0,0,0
735,1,44,9,120681,1,1,0,74836,0,0,0
416,1,32,0,0,2,0,1,878,0,0,0
754,0,32,7,0,2,1,0,89520,0,0,1
535,0,48,9,0,1,1,0,149892,1,0,0
716,1,42,8,0,2,1,0,180800,0,0,1
539,1,37,2,127609,1,1,0,98646,0,0,0
614,0,43,6,0,2,1,1,109041,0,0,0
706,1,57,7,0,1,1,0,17941,1,0,1
758,0,33,7,0,2,0,0,82996,0,0,0
586,0,28,2,0,2,1,1,92067,0,0,1
646,0,73,6,97259,1,0,1,104719,0,0,0
631,0,33,4,123246,1,0,0,112687,0,1,0
717,0,22,6,101060,1,0,1,84699,0,0,1
684,1,30,2,0,2,1,0,83473,0,0,0
800,0,49,7,108007,1,0,0,47125,0,0,0
721,0,36,2,0,2,1,1,106977,0,0,1
683,1,29,0,133702,1,1,0,55582,1,0,1
660,1,31,9,125189,2,1,1,139874,0,1,0
704,0,24,7,113034,1,1,0,162503,1,1,0
615,0,41,9,109013,1,1,0,196499,0,0,1
667,0,39,2,0,2,1,0,40721,1,0,1
682,1,24,9,57929,2,0,0,53134,0,1,0
484,0,29,4,130114,1,1,0,164017,0,0,0
628,1,27,5,95826,2,1,0,155996,0,1,0
480,1,44,10,129608,1,1,0,5472,1,1,0
578,1,30,4,169462,1,1,0,112187,0,0,0
512,1,40,5,0,2,1,1,146457,0,0,0
484,0,35,7,133868,1,1,1,27286,0,0,1
510,0,30,0,0,2,1,1,130553,0,0,0
606,1,36,5,190479,2,0,0,179351,0,1,0
597,0,40,8,101993,1,0,1,94774,0,0,1
754,0,55,3,161608,1,1,0,8080,1,1,0
